,Model Type,seed,Held-out AuROC,Held-out AuPRC,Early Stopping Metric
0,RCSumPool,1535,0.9893641635005118,0.9754514340738634,auroc
1,RCSumPoolBias,1535,0.9897617345168688,0.9756736120941536,auroc
2,RCWeight,1535,0.9890350279665249,0.9743531860368011,auroc
3,Siamese,1535,0.9882173561691361,0.9720471570737147,auroc
4,Standard,1535,0.9875724125675894,0.9712257097505456,auroc
5,AugWithin,1535,0.9861872128248307,0.9675196527579246,auroc
6,AugOut100,1535,0.9888725809590699,0.9724970267134133,auroc
7,AugOutDouble,1535,0.9852378952757306,0.9664714152247086,auroc
8,NStandard,1535,0.9876514782910379,0.9713166688758279,auroc
9,NAugWithin,1535,0.9891687891890977,0.9742427530511931,auroc
10,NAugOut100,1535,0.9885377971178825,0.972162062984177,auroc
11,NAugOutDouble,1535,0.9900742741819473,0.9756482595009318,auroc
12,RCSumPool,9999,0.99058211411696,0.9776622770571134,auroc
13,RCSumPoolBias,9999,0.9904632881186696,0.9773691760622593,auroc
14,RCWeight,9999,0.9902717533868688,0.9764192467407796,auroc
15,Siamese,9999,0.9889029485432869,0.974848180195878,auroc
16,Standard,9999,0.9875089590190985,0.9704397652149622,auroc
17,AugWithin,9999,0.9846553369098895,0.963179582320595,auroc
18,AugOut100,9999,0.9870771491068481,0.9700898145358069,auroc
19,AugOutDouble,9999,0.9845939671001972,0.9638066832667896,auroc
20,NStandard,9999,0.9871154708615043,0.9692324048941051,auroc
21,NAugWithin,9999,0.9892391074405341,0.9742018148573197,auroc
22,NAugOut100,9999,0.9869022737080818,0.9686796672846304,auroc
23,NAugOutDouble,9999,0.9892305820929622,0.9744348684212486,auroc
24,RCSumPool,4652,0.9911669043045602,0.9781968835726722,auroc
25,RCSumPoolBias,4652,0.9904272722272522,0.9769259569304233,auroc
26,RCWeight,4652,0.9905198029227346,0.9768278068846968,auroc
27,Siamese,4652,0.9889441896477318,0.9745808464005538,auroc
28,Standard,4652,0.9875869987391794,0.9710690622944754,auroc
29,AugWithin,4652,0.985709782783452,0.9667478787377114,auroc
30,AugOut100,4652,0.9874975989405721,0.9708210531016641,auroc
31,AugOutDouble,4652,0.9850187113397699,0.9654765614483688,auroc
32,NStandard,4652,0.9877592509540774,0.9716303887741683,auroc
33,NAugWithin,4652,0.9893343670934277,0.9754594876018493,auroc
34,NAugOut100,4652,0.9873650541137445,0.9708814678211536,auroc
35,NAugOutDouble,4652,0.9889552324056289,0.9748895595219774,auroc
36,RCSumPool,6806,0.9904045414928454,0.976326952542204,auroc
37,RCSumPoolBias,6806,0.9906403741844859,0.9769286383204204,auroc
38,RCWeight,6806,0.9909390575154218,0.9775536255972364,auroc
39,Siamese,6806,0.9889704637958316,0.9734839350421507,auroc
40,Standard,6806,0.9871283752337595,0.9701924610204763,auroc
41,AugWithin,6806,0.9844360683550947,0.9628685852814108,auroc
42,AugOut100,6806,0.9878875119524104,0.9710358041975187,auroc
43,AugOutDouble,6806,0.9849707641926939,0.965032341765146,auroc
44,NStandard,6806,0.9874293221185171,0.9709669911100326,auroc
45,NAugWithin,6806,0.9888619295632822,0.9737561021957978,auroc
46,NAugOut100,6806,0.9869894839943475,0.9689938080028221,auroc
47,NAugOutDouble,6806,0.9897888548533131,0.9752268894769247,auroc
48,RCSumPool,7626,0.99080650211124,0.9787207770266821,auroc
49,RCSumPoolBias,7626,0.9903430659096101,0.9770979979151827,auroc
50,RCWeight,7626,0.9897471483452788,0.9748955683752193,auroc
51,Siamese,7626,0.9890983016999924,0.9742753317772542,auroc
52,Standard,7626,0.9871186546451509,0.9697272865980172,auroc
53,AugWithin,7626,0.9851365113346928,0.9644365879679836,auroc
54,AugOut100,7626,0.9870348502669724,0.9695146569932751,auroc
55,AugOutDouble,7626,0.9844924562309079,0.9645844604746807,auroc
56,NStandard,7626,0.9871211191687046,0.9700513619916054,auroc
57,NAugWithin,7626,0.9889707811164608,0.9736477237452684,auroc
58,NAugOut100,7626,0.9873279910642512,0.9698339263343041,auroc
59,NAugOutDouble,7626,0.9894231005187136,0.9741793161299542,auroc
60,RCSumPool,2143,0.9905268157086405,0.9770888552380743,auroc
61,RCSumPoolBias,2143,0.9905346852602451,0.9782020928522207,auroc
62,RCWeight,2143,0.9904121360332383,0.9765273288738915,auroc
63,Siamese,2143,0.9884898393934521,0.9728860171172478,auroc
64,Standard,2143,0.986937771309138,0.9700574543083965,auroc
65,AugWithin,2143,0.985267215701871,0.9650477422784284,auroc
66,AugOut100,2143,0.9875063146805216,0.9704620327226295,auroc
67,AugOutDouble,2143,0.9850663411662167,0.9650664920479506,auroc
68,NStandard,2143,0.9877338441490306,0.9717639574530195,auroc
69,NAugWithin,2143,0.9888214923377646,0.9738260508105429,auroc
70,NAugOut100,2143,0.9875616025114871,0.9707022730251472,auroc
71,NAugOutDouble,2143,0.9892911480237271,0.9746975869301118,auroc
72,RCSumPool,3578,0.9906027611125684,0.9782244980427602,auroc
73,RCSumPoolBias,3578,0.9904310377653858,0.9773017633825802,auroc
74,RCWeight,3578,0.9907096452778459,0.9778694154946965,auroc
75,Siamese,3578,0.9885755371180518,0.9722313165398868,auroc
76,Standard,3578,0.9868914424972711,0.96855519910946,auroc
77,AugWithin,3578,0.9850926682010882,0.9636823490438873,auroc
78,AugOut100,3578,0.98810770073703,0.9709435294920127,auroc
79,AugOutDouble,3578,0.9848494630934953,0.9644292732855946,auroc
80,NStandard,3578,0.987452846154497,0.9703313133831412,auroc
81,NAugWithin,3578,0.9886608011711246,0.9727718297042491,auroc
82,NAugOut100,3578,0.9872264590402531,0.9690531595091219,auroc
83,NAugOutDouble,3578,0.9897721743655703,0.9752705663951028,auroc
84,RCSumPool,1780,0.9904397217732722,0.9768003984504758,auroc
85,RCSumPoolBias,1780,0.9906346306810969,0.9772507676964809,auroc
86,RCWeight,1780,0.9906084305744772,0.9772083507184736,auroc
87,Siamese,1780,0.9887401419057854,0.9737594789639047,auroc
88,Standard,1780,0.9877139164135151,0.9699379645183522,auroc
89,AugWithin,1780,0.9848536305710927,0.9641792732204234,auroc
90,AugOut100,1780,0.9863618555218021,0.968388478580466,auroc
91,AugOutDouble,1780,0.9845505259060561,0.964095734118104,auroc
92,NStandard,1780,0.9874636562105994,0.9704890942886945,auroc
93,NAugWithin,1780,0.9890349010382731,0.9734208537570741,auroc
94,NAugOut100,1780,0.9870315289777201,0.9695045942678727,auroc
95,NAugOutDouble,1780,0.9887411044450274,0.9736243108744521,auroc
96,RCSumPool,6117,0.9905970704959509,0.9774714705288504,auroc
97,RCSumPoolBias,6117,0.9901056677695321,0.9760520215993984,auroc
98,RCWeight,6117,0.9902506515650256,0.976712728812656,auroc
99,Siamese,6117,0.9890165599059039,0.9746315260511348,auroc
100,Standard,6117,0.9872795785135855,0.9696271254113663,auroc
101,AugWithin,6117,0.9850048232735641,0.9648834677533593,auroc
102,AugOut100,6117,0.9874664697868453,0.9695904770970325,auroc
103,AugOutDouble,6117,0.9851581631789605,0.9652541804348672,auroc
104,NStandard,6117,0.9872900712490585,0.9698935823070104,auroc
105,NAugWithin,6117,0.9888559956675158,0.9735664007791346,auroc
106,NAugOut100,6117,0.987343190722391,0.9702575059972198,auroc
107,NAugOutDouble,6117,0.9890638195249499,0.9737026438654693,auroc
108,RCSumPool,9295,0.9906168924579233,0.977501075280161,auroc
109,RCSumPoolBias,9295,0.9907104597341276,0.9783976978372629,auroc
110,RCWeight,9295,0.9911500016923768,0.9781849907217147,auroc
111,Siamese,9295,0.9894226880018955,0.9749377238161594,auroc
112,Standard,9295,0.9870598445552012,0.9698260510762766,auroc
113,AugWithin,9295,0.9845855369488141,0.9635177853415537,auroc
114,AugOut100,9295,0.9872606238946665,0.970106161036913,auroc
115,AugOutDouble,9295,0.9846540464726639,0.9638888717160495,auroc
116,NStandard,9295,0.9876316351743571,0.9710541459969931,auroc
117,NAugWithin,9295,0.9890062364080996,0.9737953507320755,auroc
118,NAugOut100,9295,0.9869548431589903,0.9694600273360077,auroc
119,NAugOutDouble,9295,0.9891502153549337,0.9741979863613907,auroc
120,RCSumPool,1535,0.9892281916108888,0.9753670002125335,loss
121,RCSumPoolBias,1535,0.9897700060079373,0.976405068954995,loss
122,RCWeight,1535,0.9893497677212995,0.9753996366009111,loss
123,Siamese,1535,0.9883199988153364,0.9732410948380099,loss
124,Standard,1535,0.9875180766985115,0.9705600468906677,loss
125,AugWithin,1535,0.9851650596139688,0.9654468413719766,loss
126,AugOut100,1535,0.987185006388722,0.9695198164968026,loss
127,AugOutDouble,1535,0.983655618267514,0.962178521966945,loss
128,NStandard,1535,0.9871096215845724,0.9693245441755878,loss
129,NAugWithin,1535,0.989336334481329,0.9744252236784985,loss
130,NAugOut100,1535,0.988227944100798,0.9710145809628303,loss
131,NAugOutDouble,1535,0.989131514592518,0.9739309778857844,loss
132,RCSumPool,9999,0.9896005144825136,0.9754300930845973,loss
133,RCSumPoolBias,9999,0.9901760494850944,0.9766791260293021,loss
134,RCWeight,9999,0.9890077278150571,0.9745092628705023,loss
135,Siamese,9999,0.9887111070682112,0.9726640966928939,loss
136,Standard,9999,0.9868047505013666,0.9689040553650918,loss
137,AugWithin,9999,0.9837037029201962,0.9629007536087103,loss
138,AugOut100,9999,0.9870771491068481,0.9700898145358069,loss
139,AugOutDouble,9999,0.9830254406525805,0.9607654030137209,loss
140,NStandard,9999,0.9861719920119819,0.9679282977019226,loss
141,NAugWithin,9999,0.9881737986240978,0.9717476467333184,loss
142,NAugOut100,9999,0.9866105714309891,0.9691102896421723,loss
143,NAugOutDouble,9999,0.9892305820929622,0.9744348684212486,loss
144,RCSumPool,4652,0.9910759813669326,0.9786880640730277,loss
145,RCSumPoolBias,4652,0.9900911344847136,0.9772856242553074,loss
146,RCWeight,4652,0.9911036728805096,0.979192509907483,loss
147,Siamese,4652,0.9885936138165633,0.974220103419667,loss
148,Standard,4652,0.9880008165717524,0.9715577759581879,loss
149,AugWithin,4652,0.9853735815767873,0.9666818861584234,loss
150,AugOut100,4652,0.986362849793107,0.9686483063476571,loss
151,AugOutDouble,4652,0.9844666792184604,0.964255275436261,loss
152,NStandard,4652,0.9867361880907451,0.9692458177956724,loss
153,NAugWithin,4652,0.9894619299863764,0.975066872061964,loss
154,NAugOut100,4652,0.9879822110055256,0.9725741962580833,loss
155,NAugOutDouble,4652,0.9884225145332848,0.9738925713776317,loss
156,RCSumPool,6806,0.990805571304061,0.9781080647517231,loss
157,RCSumPoolBias,6806,0.9907210899752067,0.977783985240502,loss
158,RCWeight,6806,0.9902404021087013,0.9776852604338045,loss
159,Siamese,6806,0.9891474229333965,0.9746251516089051,loss
160,Standard,6806,0.9866303405061899,0.968981643654547,loss
161,AugWithin,6806,0.9824140272641886,0.9601177511072037,loss
162,AugOut100,6806,0.9865150050348207,0.9692469201882247,loss
163,AugOutDouble,6806,0.9854579254000355,0.9655853750174219,loss
164,NStandard,6806,0.9885875741472536,0.9726789249477391,loss
165,NAugWithin,6806,0.9887473133520059,0.9733934598351884,loss
166,NAugOut100,6806,0.9856772891510193,0.9672808362432286,loss
167,NAugOutDouble,6806,0.9895401495214804,0.9752516724742297,loss
168,RCSumPool,7626,0.9897436789730658,0.9760147616820827,loss
169,RCSumPoolBias,7626,0.9903065528825405,0.9761250282827297,loss
170,RCWeight,7626,0.989562869678533,0.9756062990963842,loss
171,Siamese,7626,0.9882134742801052,0.9717026430439951,loss
172,Standard,7626,0.9871122341910863,0.9687607129653742,loss
173,AugWithin,7626,0.9847189279639863,0.9651414785954173,loss
174,AugOut100,7626,0.986578098953265,0.9691453897641755,loss
175,AugOutDouble,7626,0.9834890355145248,0.9620434696228162,loss
176,NStandard,7626,0.9869754055357642,0.969336240793284,loss
177,NAugWithin,7626,0.9885284890460919,0.9725191417771564,loss
178,NAugOut100,7626,0.9878175639083748,0.9719111033280406,loss
179,NAugOutDouble,7626,0.9892138064090304,0.9740334377635809,loss
180,RCSumPool,2143,0.9902911099452516,0.9776098123449448,loss
181,RCSumPoolBias,2143,0.9909664528630784,0.978189224394785,loss
182,RCWeight,2143,0.99114055611498,0.9786596225012318,loss
183,Siamese,2143,0.9878516758760165,0.9719324178672966,loss
184,Standard,2143,0.9862614235426522,0.9680017400229258,loss
185,AugWithin,2143,0.9825510674665967,0.9588817714979324,loss
186,AugOut100,2143,0.9864439040591656,0.9686770573424015,loss
187,AugOutDouble,2143,0.9852822249676333,0.9646949559340134,loss
188,NStandard,2143,0.9875092446076648,0.9697988481038988,loss
189,NAugWithin,2143,0.988000425209643,0.9720984271159238,loss
190,NAugOut100,2143,0.9857760710628972,0.9668887609505289,loss
191,NAugOutDouble,2143,0.9888271406449648,0.9740256564191657,loss
192,RCSumPool,3578,0.9898710514736371,0.9763813465279884,loss
193,RCSumPoolBias,3578,0.9900330436548567,0.9771921052016908,loss
194,RCWeight,3578,0.990326480618056,0.9778104559740348,loss
195,Siamese,3578,0.9881960745322693,0.9716902372233597,loss
196,Standard,3578,0.9868295755519263,0.9682917413350207,loss
197,AugWithin,3578,0.9840426119295633,0.9622505005251643,loss
198,AugOut100,3578,0.9866048808143717,0.9682511661122636,loss
199,AugOutDouble,3578,0.9832325875593391,0.961678043372296,loss
200,NStandard,3578,0.9862999356896858,0.9682332809299555,loss
201,NAugWithin,3578,0.989031526862249,0.9736320593997768,loss
202,NAugOut100,3578,0.9865987671035819,0.9684412916422673,loss
203,NAugOutDouble,3578,0.9889852615145078,0.9741178601403672,loss
204,RCSumPool,1780,0.9902419569797847,0.9765938177184011,loss
205,RCSumPoolBias,1780,0.9906388933548829,0.9771564697201721,loss
206,RCWeight,1780,0.9899986672533573,0.976823557041472,loss
207,Siamese,1780,0.9873595856215676,0.9701539566855568,loss
208,Standard,1780,0.9860237080819448,0.9667499962108245,loss
209,AugWithin,1780,0.9821845621398411,0.959020203403832,loss
210,AugOut100,1780,0.9863618555218021,0.968388478580466,loss
211,AugOutDouble,1780,0.9835909060138607,0.9611608961511235,loss
212,NStandard,1780,0.987220810733053,0.9694085459812171,loss
213,NAugWithin,1780,0.9876729080108649,0.9708259027365841,loss
214,NAugOut100,1780,0.9852778036335327,0.9661810484816369,loss
215,NAugOutDouble,1780,0.9887411044450274,0.9736243108744521,loss
216,RCSumPool,6117,0.9907035209897019,0.977657285966714,loss
217,RCSumPoolBias,6117,0.9899502018159202,0.9766076102601484,loss
218,RCWeight,6117,0.9906681397395434,0.977827844949505,loss
219,Siamese,6117,0.9882434293475042,0.9723531040116005,loss
220,Standard,6117,0.9876846382967921,0.9707584898134983,loss
221,AugWithin,6117,0.9848611193379422,0.9649550692466325,loss
222,AugOut100,6117,0.9870091261412965,0.9689330317939182,loss
223,AugOutDouble,6117,0.9844183935960467,0.9634271834266939,loss
224,NStandard,6117,0.9866566040769353,0.9689297207498774,loss
225,NAugWithin,6117,0.9887728259305957,0.9736520205066407,loss
226,NAugOut100,6117,0.9870267162815098,0.9700513950238656,loss
227,NAugOutDouble,6117,0.9891445458930249,0.9742170094249459,loss
228,RCSumPool,9295,0.990089770006008,0.9763445675516768,loss
229,RCSumPoolBias,9295,0.9910256860472004,0.9788000591168943,loss
230,RCWeight,9295,0.990570415563096,0.978059364149463,loss
231,Siamese,9295,0.9888021886661533,0.9731309020815927,loss
232,Standard,9295,0.9863722424837321,0.9688945155086007,loss
233,AugWithin,9295,0.9845041865168349,0.9643460850270898,loss
234,AugOut100,9295,0.9864960609932559,0.9682410552818995,loss
235,AugOutDouble,9295,0.984072492955482,0.963840902696541,loss
236,NStandard,9295,0.9871116101271821,0.9702964002288199,loss
237,NAugWithin,9295,0.988371478798751,0.9725450145562134,loss
238,NAugOut100,9295,0.9874249113617709,0.9704957812245744,loss
239,NAugOutDouble,9295,0.9886872022474762,0.9735433358487844,loss
